reviewId,userName,userImage,spamNotspam,sensitiveInsensitive,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,Column1,Column2,Column3,Column4
79295c66-065c-4e96-b6be-dd45df3cde2b,Maylene Whittaker,https://play-lh.googleusercontent.com/a/ALm5wu0CZKyKFgvP5rfiFYG2-jlIjJOrKRndoZk12Hmv=mo,1,0,"Hate speech everywhere, TikTok is trash!",4,0,2564,11/29/22 21:55,,not spam,1557,,,
68ccaec8-1415-4301-a85e-3004679a3a83,Cassie Moore,https://play-lh.googleusercontent.com/a/ALm5wu3q5toVgi31gp1EalLMYGYr9L5RfXVIpzLsxbkn=mo,1,0,No words,5,0,2713,11/29/22 21:55,,spam,1035,,,
21f16893-f26f-4a72-8a2f-85795e5ea9a4,Barbiee,https://play-lh.googleusercontent.com/a/ALm5wu1J0Nf9_paVkkm4LxTont7t5AdxgM3spDw3lsY1=mo,1,1,"This app is for pedos, get out now!",5,0,,11/29/22 21:54,,total,2592,,,
078c0bda-598b-474e-a04e-d7cb3e6f6301,Kittykatelyn Romilly,https://play-lh.googleusercontent.com/a-/ACNPEu9k9OidlJrJIdMlenCtAQKwdkXGBgDzM0B5xoDhxA,0,,I WISH I COULD GIVE THIS A 100 PERCENT RATING I LOVE THIS!! 💕 😘,5,0,,11/29/22 21:54,,sensitive,383,,,
d84cbfd3-6aa3-485c-aaf9-c5dca27dc966,Kaleb Plummer,https://play-lh.googleusercontent.com/a-/ACNPEu-2grjqlhIhMFobZYFRDx9RuuKmHuLWbqns_QM8yDM,0,,Great fun app so far!,5,0,,11/29/22 21:54,,not,652,,,
08dc9129-a16b-459a-9c58-4d63a0eebd26,Melvin Crawford,https://play-lh.googleusercontent.com/a/ALm5wu0lOXEZgMIA6qDq8NBqjW0XP1vyzY61VEhSIXuM=mo,0,,I love this amazing app,5,0,2713,11/29/22 21:52,,total,1035,,,
8e68c5cd-b12a-4206-a8da-6bfdbff44ae3,Loveness Malenga,https://play-lh.googleusercontent.com/a-/ACNPEu-ED4DqjcPGcbwEnqI1TGoraxTu7nOsegt5SaBE,0,,Pictures and record,5,0,,11/29/22 21:52,,,,,,
cb9310fb-f375-4136-afc9-64882e4851cf,Md Yeasin Khan Army,https://play-lh.googleusercontent.com/a-/ACNPEu8L1fn7nC4CVU5uorqYZ3LAAUhKCWWEP7bEhI8j,1,1,Fuck Biden!,5,0,,11/29/22 21:52,,,,,,
1b22eaaa-c9a4-430b-b989-234fc8d756c4,Muhammad Rehan,https://play-lh.googleusercontent.com/a/ALm5wu2BnhEcEBaYTEcfUtFIZ6RMmMdTbS1Wnt5AZ17q=mo,1,0,Mohammed Rehan,5,0,2713,11/29/22 21:51,,,,,,
0e4af7cc-53d9-4b81-b608-933af34dfae1,Júlia Fideles,https://play-lh.googleusercontent.com/a-/ACNPEu_eYPJ2stXuENGwpY3JKF3Jyvw37XmMcH-sOZvqtA,0,,Kwai pelo menos da dinheiro,1,1,2703,11/29/22 21:51,,,,,,
f2ce64ec-5278-4ed9-95a5-f1fa04d0534f,Brian Nowak,https://play-lh.googleusercontent.com/a-/ACNPEu_n_ur4Yb6pwEpwb_9PnXlH4yr1dNEfAhxDO3Tr,0,,Love being on Tik Tok.,5,0,2703,11/29/22 21:50,,,,,,
f97768fe-323f-4422-9a60-e76781673ea0,Lisanna Valvora,https://play-lh.googleusercontent.com/a-/ACNPEu-dlVyzAOMpd06waKxM44Jw3nC3s3diIJvAKbKf,0,,I got banned for literally no reason. You guys need to stop banning people! I didn't do anything,1,0,2713,11/29/22 21:50,,,,,,
25c6b61c-40ee-4361-9f01-dc25036bf076,Rocio Salas,https://play-lh.googleusercontent.com/a-/ACNPEu-g0H8zEr1lgz58K93eJOLK1v6UBbCSVAQPzGyzjvI,0,,Post to view is such a step backwards for the platform -- why punish both your casual users and your content creators?,1,166,2713,11/29/22 21:48,,,,,,
102df96f-240a-42a9-988c-0c6b85bf1f20,Beautiful Ayaan,https://play-lh.googleusercontent.com/a/ALm5wu2_NFao5T0pJuOqyb5HFu_27PUEZ2Ox1zivKdcO=mo,0,,Good,5,0,,11/29/22 21:48,,,,,,
c45e24a9-29da-4619-add8-c3608abed499,hassan ali fawaz,https://play-lh.googleusercontent.com/a/ALm5wu2wRYIZ24mndtHrgbbJp5VyeoHP4aC5B6zokiiF=mo,0,,Love,5,0,2713,11/29/22 21:47,,,,,,
79878f06-c71f-4e9a-b548-5727c09aaa5a,Thomas J Herrmann,https://play-lh.googleusercontent.com/a-/ACNPEu-tE7LAryL-sd7-cOhHKS83n-KBa30dme_GvJjA4g,0,,I have fun on here.,5,0,2713,11/29/22 21:47,,,,,,
bb7935b0-89e4-42c0-81ee-7812930e0e55,Yusuf Zmusa,https://play-lh.googleusercontent.com/a/ALm5wu1Pp8YVvwU83fSK8nlqokmjGKLNA06bBJRjGete=mo,1,1,"Fuck TikTok, it’s full of Chinese spies!",1,0,2564,11/29/22 21:47,,,,,,
713a904d-8888-4716-8356-a138ddf4ad30,Joey Legroulx,https://play-lh.googleusercontent.com/a/ALm5wu0c7Hq-lqiWFQEo53NGxhrzNnPIjC82ivF4SgpH=mo,0,,I don't like when it takes so long to load and or only load one video but other then that I love the app,4,0,2613,11/29/22 21:47,,,,,,
5ea10a4b-892d-4761-b3a5-bbe4724a8fa7,Reno Mizzi,https://play-lh.googleusercontent.com/a-/ACNPEu8-5q7TL6qm3WT0qXnprODtTYuoCru6P6BRG5_d,1,1,racist as hell!,5,0,2179,11/29/22 21:46,,,,,,
33f9466c-d28b-49f9-ac98-ffb6e5044de1,Tik Toker,https://play-lh.googleusercontent.com/a/ALm5wu33cY84qKrdRpjmIq34tIls-a0Td0vbzwF1iiHQ=mo,0,,Very very nice app but my video not going for you,5,0,2703,11/29/22 21:45,,,,,,
c033301f-4666-4d60-a619-3662c8e1ac9a,Me You,https://play-lh.googleusercontent.com/a/ALm5wu0bT3_MpdVh3mFGb4JHcU2-y_Fij9JUNkngfMIM=mo,0,,I love tik tok but this black out thing is crazy and can even kill don't try the black out,4,0,,11/29/22 21:44,,,,,,
5b8682e2-9f4a-448e-bf8a-3ba949fb9809,christopher martins,https://play-lh.googleusercontent.com/a/ALm5wu2uPxKcDHkcleLAlKq13Sb0BeRNRQLdzBDpeWbY=mo,0,,Perfect 🥰,5,0,2703,11/29/22 21:44,,,,,,
968a38b1-0e01-458e-a5c9-3ac05b9a1b1a,M Mustaqeem,https://play-lh.googleusercontent.com/a-/ACNPEu_pUblujq-cmwpBUwc-5S-_fNWD76JvLAQ86ETA,0,,Hi dear tik tik is very good app Android mobile and tablet laptop and computer using best app thanks for tik tik team,5,0,2703,11/29/22 21:43,,,,,,
8ae260f0-b3a1-4c73-9a52-c1976609f3e5,khadijat Usman Auta,https://play-lh.googleusercontent.com/a/ALm5wu0f-0MkSRhDMz7hVt1LMKvboCuMGK8PCTXvwfB0=mo,0,,Awesome,5,0,2703,11/29/22 21:42,,,,,,
4dcdce82-e435-4bc6-8544-3da6f3f96afa,Abdullah Baloch,https://play-lh.googleusercontent.com/a-/ACNPEu_NPzSKV7aGsfz5hljD9O-CepPdsnUpYun3UVtr,1,1,"Send nudes, lmao.",5,0,2554,11/29/22 21:39,,,,,,
0cf2127b-0dc0-45ee-be67-2be8d8d7087b,Jay Dubose,https://play-lh.googleusercontent.com/a/ALm5wu2wrUGldBifsa7zP0GXdY_e2Ov3SoZKsyJF5BVo=mo,0,,Type shii🫂,5,0,,11/29/22 21:39,,,,,,
66b4e691-a878-460b-8d62-239f756ec592,zeyda hawkins,https://play-lh.googleusercontent.com/a-/ACNPEu8WtULCqRu9720sl3Z5h9kM8AeVtFoBHvDdu-HJPQ,0,,my app won't stop crashing its horrible I'm making a video and ut crashes and deletes my progress. get your app fixed!,1,0,2713,11/29/22 21:38,,,,,,
12a6efd7-51ad-4a65-b7ea-871f0b7654db,Shadan khan,https://play-lh.googleusercontent.com/a/ALm5wu0iBgtujrmLTgFAN4qiC4XdHGwktpnnEN2AePR5=mo,0,,Good,4,0,,11/29/22 21:36,,,,,,
4d7d77c8-5110-4430-a3d2-1ead630dbd5c,Nji Bismark Fru,https://play-lh.googleusercontent.com/a/ALm5wu2fhX2pYNht02yyMFbtl8S8LSzHg7li9GrN7gKN=mo,1,1,"Racists are all over this app, lol.",5,0,2577,11/29/22 21:35,,,,,,
70c31bbd-950a-44b6-a70d-68a2c492542b,Awais Pansota,https://play-lh.googleusercontent.com/a/ALm5wu2dFsOcdA2akfUWvSQ_8WJFuNiTQhjAnD8tCQs9=mo,0,,Gud wark,5,0,,11/29/22 21:33,,,,,,
ba57180a-3f1a-46ff-aa17-027d395f1cc4,Queen Kuromi,https://play-lh.googleusercontent.com/a-/ACNPEu_j3vxcS8TF1apLLFV2cEQfYLlea86b9CTsnp35eg,1,1,Kill yourself if you’re using this toxic app!,4,0,,11/29/22 21:32,,,,,,
87916c2c-13f0-43e7-b1ce-bb4fa5a6a358,AAQIB javed,https://play-lh.googleusercontent.com/a/ALm5wu3deKAIljBqDPSRD6kk3pl4dHmAbfc-99bM9za8=mo,0,,Good,1,0,2713,11/29/22 21:31,,,,,,
9f052c05-45ae-4f84-b8e8-cb4bae5d46c7,Haris Zeba,https://play-lh.googleusercontent.com/a/ALm5wu1_8jk1UGs_pjT2R5Tp9RtENKnxLABRnxBHNuDU=mo,0,,I like TikTok plz help me my account is freez qadeer20229 plz unfreez my account plz is I have a thanks full for you and I have always like to TikTok so plz accept my problems and unfreez my account thanks ❤️,5,0,2664,11/29/22 21:31,,,,,,
16291c81-e4f2-4f33-ae2e-4b813054513d,Clinton Alozie,https://play-lh.googleusercontent.com/a/ALm5wu2wFkMBnJkqXm7sRgCGnowwz1bhXyOZjold0GjS=mo,0,,Greatttt,4,0,2684,11/29/22 21:29,,,,,,
92cc2c92-106b-4c11-8246-fc10a7469de3,prince mamun,https://play-lh.googleusercontent.com/a/ALm5wu06V3Caup7Yf_T_XkgRF9VuiQOc2bUhDIhoBVxX=mo,1,1,"Chinese spyware, uninstall now!",5,0,2583,11/29/22 21:29,,,,,,
c05854fd-9527-4713-a0ae-8072e3052cc7,XLense,https://play-lh.googleusercontent.com/a-/ACNPEu8vhzBBcH3ShQ9KXcb3GK1vWaYt5tccveL3aUX5mA,1,0,Josssss,5,0,2703,11/29/22 21:28,,,,,,
86199dd8-01bd-4722-9b49-088b3470c584,Joshua Inlow,https://play-lh.googleusercontent.com/a/ALm5wu1aLtOOx_tbp6nx-VeKkji8WV5v5qcxc3TrMO2a=mo,0,,Enjoy watching the videos,4,0,2713,11/29/22 21:27,,,,,,
910e7872-8988-4867-b7f3-b1fcc68d8582,Saidah Nawabi,https://play-lh.googleusercontent.com/a/ALm5wu2pIdTONeN3NUqXrbpFgxJwcO75lNbBa2yq4sJ0=mo,0,,the best one,5,0,,11/29/22 21:26,,,,,,
57185fc7-9f78-4227-9331-8ea64f858b12,Anuoluwapo Lawson,https://play-lh.googleusercontent.com/a-/ACNPEu8dWEnTcjFD1aH2o-gNAo4fJeWAp-irVTvztsaI,1,0,TikTok is spreading fake news about the elections!,5,0,2564,11/29/22 21:26,,,,,,
d8d22eb6-7d5e-46c8-ab61-6740c50db774,Olive Elina,https://play-lh.googleusercontent.com/a/ALm5wu3Qn4IinBuQvjameaeZkubsRyYcNBWZYSog-O2e=mo,0,,It funny and cool,5,0,2694,11/29/22 21:25,,,,,,
a551f083-01fc-4403-8a1b-03ea3f23e24e,Asad jutt,https://play-lh.googleusercontent.com/a/ALm5wu1Wwjo418wiChceom8x7juofUda7hLlV3a-L2WR=mo,1,0,Cyberbullies have taken over TikTok!,5,0,2564,11/29/22 21:24,,,,,,
acc17a5e-fe45-4ca2-985f-3301c9c29d43,Munachi Sweet,https://play-lh.googleusercontent.com/a/ALm5wu2hQlZv5Z__KIp7kHFMDrWzH8zhrljeBXqnjgmi=mo,0,,It's so cool It can make you not to be bored,5,0,,11/29/22 21:23,,,,,,
